timestamp,equity,cash,exposure,drawdown
2024-01-02T17:00:00,1000000,1000000,0,0
2024-01-03T17:00:00,1000000,1000000,0,0
2024-01-04T17:00:00,1000000,1000000,0,0
2024-01-05T17:00:00,1000000,1000000,0,0
2024-01-08T17:00:00,1000000,1000000,0,0
2024-01-09T17:00:00,1000000,1000000,0,0
2024-01-10T17:00:00,1000000,1000000,0,0
2024-01-11T17:00:00,1000000,1000000,0,0
2024-01-12T17:00:00,1000000,1000000,0,0
2024-01-15T17:00:00,1000000,1000000,0,0
2024-01-16T17:00:00,1000000,1000000,0,0
2024-01-17T17:00:00,1000000,1000000,0,0
2024-01-18T17:00:00,1000000,1000000,0,0
2024-01-19T17:00:00,1000000,1000000,0,0
2024-01-22T17:00:00,1000000,1000000,0,0
2024-01-23T17:00:00,1000000,1000000,0,0
2024-01-24T17:00:00,1000000,1000000,0,0
2024-01-25T17:00:00,1000000,1000000,0,0
2024-01-26T17:00:00,1000000,1000000,0,0
2024-01-29T17:00:00,1000000,1000000,0,0
2024-01-30T17:00:00,1000000,1000000,0,0
2024-01-31T17:00:00,1000000,1000000,0,0
2024-02-01T17:00:00,1000000,1000000,0,0
2024-02-02T17:00:00,1000000,1000000,0,0
2024-02-05T17:00:00,1000000,1000000,0,0
2024-02-06T17:00:00,1000000,1000000,0,0
2024-02-07T17:00:00,1000000,1000000,0,0
2024-02-08T17:00:00,1000000,1000000,0,0
2024-02-09T17:00:00,1000000,1000000,0,0
2024-02-12T17:00:00,1000000,1000000,0,0
2024-02-13T17:00:00,1000000,1000000,0,0
2024-02-14T17:00:00,1000000,1000000,0,0
2024-02-15T17:00:00,1000000,1000000,0,0
2024-02-16T17:00:00,1000000,1000000,0,0
2024-02-19T17:00:00,1000000,1000000,0,0
2024-02-20T17:00:00,1000000,1000000,0,0
2024-02-21T17:00:00,1000000,1000000,0,0
2024-02-22T17:00:00,1000000,1000000,0,0
2024-02-23T17:00:00,1000000,1000000,0,0
2024-02-26T17:00:00,1000000,1000000,0,0
2024-02-27T17:00:00,1000000,1000000,0,0
2024-02-28T17:00:00,1000000,1000000,0,0
2024-02-29T17:00:00,1000000,1000000,0,0
