timestamp,equity,cash,exposure,drawdown
2024-07-02T17:00:00,1000000,1000000,0,0
2024-07-03T17:00:00,1000000,1000000,0,0
2024-07-04T17:00:00,1000000,1000000,0,0
2024-07-05T17:00:00,1000000,1000000,0,0
2024-07-08T17:00:00,1000000,1000000,0,0
2024-07-09T17:00:00,1000000,1000000,0,0
2024-07-10T17:00:00,1000000,1000000,0,0
2024-07-11T17:00:00,1000000,1000000,0,0
2024-07-12T17:00:00,1000000,1000000,0,0
2024-07-15T17:00:00,1000000,1000000,0,0
2024-07-16T17:00:00,1000000,1000000,0,0
2024-07-17T17:00:00,1000000,1000000,0,0
2024-07-18T17:00:00,1000000,1000000,0,0
2024-07-19T17:00:00,1000000,1000000,0,0
2024-07-22T17:00:00,1000000,1000000,0,0
2024-07-23T17:00:00,1000000,1000000,0,0
2024-07-24T17:00:00,1000000,1000000,0,0
2024-07-25T17:00:00,1000000,1000000,0,0
2024-07-26T17:00:00,1000000,1000000,0,0
2024-07-29T17:00:00,1000000,1000000,0,0
2024-07-30T17:00:00,1000000,1000000,0,0
2024-07-31T17:00:00,1000000,1000000,0,0
